12/02/2019,03:49:56,
S=ADXL355 C=53 F=125.00
-438.1440,-16520.5117,-333.3120
-435.1360,-16521.4082,-323.7120
-434.4320,-16520.5117,-319.6160
-433.5360,-16519.9355,-307.8400
-431.7440,-16522.4961,-314.4960
-436.2240,-16521.7285,-323.4560
-436.0960,-16518.5273,-331.7120
-442.7520,-16519.2324,-333.1840
-440.8960,-16518.0156,-332.3520
-440.1920,-16518.9766,-331.9680
-435.3280,-16522.1758,-330.3040
-438.0160,-16526.1445,-328.3200
-437.6320,-16525.5684,-323.2000
-440.4480,-16520.6406,-322.8800
-437.1200,-16517.7598,-313.9840
-434.4960,-16517.7598,-320.5120
-434.1760,-16524.1602,-326.7200
-434.4320,-16523.0723,-334.6560
-437.8880,-16520.4473,-337.5360
-435.4560,-16523.1367,-333.1840
-436.9920,-16523.1367,-323.5840
-432.7040,-16519.0391,-315.0080
-436.4160,-16518.9121,-315.3920
-436.2240,-16519.6797,-318.8480
-439.4880,-16520.3848,-327.2320
-439.4880,-16517.8242,-337.6000
-439.5520,-16517.7598,-336.5760
-438.5280,-16516.0312,-333.8880
-438.4000,-16517.1836,-331.5840
-437.3760,-16520.8965,-324.0960
-433.9840,-16518.6562,-316.3520
-433.9840,-16522.0488,-312.1280
-433.2800,-16520.9609,-309.9520
-438.9760,-16524.0312,-313.2800
-435.9040,-16521.8555,-320.3840
-441.7920,-16518.2070,-336.0000
-439.9360,-16517.6953,-352.5760
-439.4880,-16520.3848,-353.7280
-434.8800,-16522.4961,-339.0080
-432.6400,-16524.0312,-321.3440
-431.1040,-16523.5195,-308.7360
-430.7200,-16523.6484,-301.2480
-435.2640,-16522.0488,-309.1840
-438.8480,-16521.0234,-322.8160
-437.0560,-16514.8809,-332.4160
-434.0480,-16514.5605,-339.7120
-439.5520,-16518.9766,-336.6400
-436.5440,-16524.3516,-339.5840
-442.0480,-16528.6406,-332.7360
-438.1440,-16524.9277,-326.4000
-438.6560,-16524.0312,-316.1600
-434.4320,-16519.0391,-318.2720
-432.0000,-16512.0000,-325.9520
-431.4880,-16514.4961,-332.9920
-435.3280,-16517.8887,-331.0080
-437.3760,-16524.8633,-328.2560
-436.6720,-16526.7207,-312.1280
-434.9440,-16529.7930,-307.1360
-440.8320,-16521.9844,-326.5920
-441.9200,-16517.1836,-341.8240
-439.2960,-16511.1680,-355.0080
-437.8880,-16516.0957,-346.8800
-431.8720,-16519.6152,-333.1200
-432.5120,-16527.4883,-316.0960
-432.0640,-16528.3203,-310.4640
-436.4160,-16522.7520,-307.9680
-438.0800,-16518.3359,-320.3200
-438.2080,-16516.3516,-324.3520
